NomMachine;NumeroSerie;DateReleve
HW180000242;LR0EBS58;08/04/2025 09:11
HW180000343;LR0EBRX7;08/04/2025 09:12
HW180000428;MP20FW3Y;08/04/2025 10:14
##;;
HW180000000;LR0EBRT5;08/04/2025 12:03
HW180000256;LR0EBS8W;08/04/2025 12:04
HW180000349;LR0EBRV5;08/04/2025 12:04
HW180000357;LR0EBRZB;08/04/2025 12:04
##;;
;;
;;
"HW180000324";"LR0EBRZC";"2025-04-08 14:56:40"
"HW180000240";"LR0EBRVD";"2025-04-08 14:57:15"
"HW180000347";"LR0EBRTA";"2025-04-08 14:57:51"
"HW180000356";"LR0EBRT0";"2025-04-08 14:58:21"
